CERNA;LOPEZ;WALTER CESAR;3;M;995236020;wcerna2111@hotmail.com;1
DELGADO;FLORES;ANGELO;2;M;995438845;libre_detected@hotmail.com;1
MORI;VILLALOBOS;AIDA;2;F;988776655;aidam@hotmail.com;1
VILLARREAL;ARCE;KATHERINE;2;F;988676756;katherinevillarreal@hotmail.com;2
QUISPE;PAREDES;PEDRO;2;M;988576857;pedroq@hotmail.com;2
RETUERTO;MARTINEZ;LUIS;3;M;988476958;luisr@gmail.com;1
TABOADA;VILELA;JUANA;2;F;988377059;juanat@hotmail.com;3
TAPIA;CABRERA;JULIA;2;F;988277160;julia@hotmail.com;1
FLORES;FLORES;DIEGO;2;M;988177261;diego@hotmail.com;1
PALACIOS;TENA;MELVIN;2;M;988077362;abc@hotmail.com;1
ROSSEL;CASTRO;FREDY;2;M;987977463;def@hotmail.com;1
NOYA;RIVAS;GIANCARLO;2;M;987877564;ghi@hotmail.com;1
MIRANDA;RIOS;JOEL ;2;M;987777665;jkl@hotmail.com;3
GARCIA;BELTRAN;LUIS;2;M;987677766;mno@hotmail.com;1
ESPINOZA;SANCHEZ;PACO;2;M;987577867;pqr@hotmail.com;2
BETETA;TADEO;HUGO;2;M;987477968;stu@hotmail.com;1
SILVA;PAREDES;CARMEN;2;F;987378069;vwx@hotmail.com;1
CURIOSO;CASTRO;FRANCISCA;2;F;987278170;yz@hotmail.com;1
YARLEQUE;PIJO;CESAR;2;M;987178271;abc1@hotmail.com;1
VILLARREAL;CHAVEZ;JULIA;2;F;987078372;def2@hotmail.com;1
CHUMPITAZ;RESURRECCION;JOSE;3;M;986978473;ghi2@hotmail.com;1
MELENDEZ;CRISTOBAL;ANTONIO;3;M;986878574;jkl2@hotmail.com;1
CAMONES;ROBLES;FELIX;3;M;986778675;mno2@hotmail.com;1
MARIN;CAMA;ALBERTO;3;M;986678776;pqr2@hotmail.com;1
MATEO;BELTRAN;JUNIOR;3;M;986578877;stu2@hotmail.com;1
TORRES;ORTEGA;WILSON;3;M;986478978;vwx2@hotmail.com;1
RAMIREZ;ANTICONA;FERNANDO;3;M;986379079;yz2@hotmail.com;1
BAUTISTA;MARTIN;RAY;3;M;986279180;yza2@hotmail.com;2
LEON;LOPEZ;CARLOS;3;M;986179281;abcf@hotmail.com;1
ROMERO;DIAZ;HENRY;3;M;986079382;deff@hotmail.com;1
CLAVIJO;CHUMBES;ROSA;3;F;985979483;ghif@hotmail.com;1
PEREZ;OSSO;HUMBERTO;3;M;985879584;jklf@hotmail.com;1
RUIZ;CHERRES;PILAR;3;F;985779685;mnof@hotmail.com;1
PANANA;ASTETE;LIZ;3;F;985679786;pqrf@hotmail.com;1
BAZALAR;MINAYA;ERIKA;3;F;985579887;stuf@hotmail.com;1
NARVASTA;PACHECO;CLARA;2;F;985479988;vwxf@hotmail.com;1
CHANG;VALLADARES;JHON JAIRO;1;M;985380089;yzfff@hotmail.com;1
RETUERTO;CORDOVA;YENIFER ANYELA;1;F;985280190;abc1f@hotmail.com;1
ROJAS;SACRE;EDWIN LEE;1;M;985180291;def2f@hotmail.com;1
CABELLO;RAFAEL;DELCY;1;F;985080392;ghi2f@hotmail.com;1
URRIETA;MARZANO;KEVIN ALONSO;1;M;984980493;jkl2f@hotmail.com;1
ROJAS;LOARTE;YOEL ;1;M;984880594;mno2f@hotmail.com;1
GIL;ROBLES;ENRIQUE;1;M;984780695;pqr2f@hotmail.com;1
DE LA CRUZ;AYALA;VICTORIA ;1;F;984680796;stuf2@hotmail.com;1
BENITES;CABELLO;JOEL ALEXIS;1;M;984580897;vwx2ff@hotmail.com;1
AVILA;MEJIA;ERIKC PABLO;1;M;984480998;yz2ff@hotmail.com;1
ESPINOZA;HUANSHA;MADELEINE;1;F;984381099;yza2ff@hotmail.com;1
VILLAJUAN;URRIETA;AYRTON ANDREE;1;M;984281200;vwx2fffg@hotmail.com;1
SALINAS;CALIXTO;ELISEO JACOBO;1;M;984181301;yz2ffa@hotmail.com;1
JULCA;POLLERA;SOLANGE;1;F;984081402;yza2ffsf@hotmail.com;1
